dimensie/0/_name,dimensie/0/__text,dimensie/1/_name,dimensie/1/__text,dimensie/2/_name,dimensie/2/__text,dimensie/3/_name,dimensie/3/__text
aantal,"642050886,8",jaar,1991,netwerk,snelwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"808472543,3",jaar,1991,netwerk,gewestwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"194243393,8",jaar,1991,netwerk,gemeentewegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,1134710905,jaar,1991,netwerk,snelwegen,voertuigtype,trekker met oplegger
aantal,514790349,jaar,1991,netwerk,gewestwegen,voertuigtype,trekker met oplegger
aantal,"52338710,93",jaar,1991,netwerk,gemeentewegen,voertuigtype,trekker met oplegger
aantal,"317952485,3",jaar,1991,netwerk,snelwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"127578314,2",jaar,1991,netwerk,gewestwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"14784715,85",jaar,1991,netwerk,gemeentewegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"60059698,19",jaar,1992,netwerk,snelwegen,voertuigtype,motor
aantal,"167837828,6",jaar,1992,netwerk,gewestwegen,voertuigtype,motor
aantal,"91457940,98",jaar,1992,netwerk,gemeentewegen,voertuigtype,motor
aantal,11358638388,jaar,1992,netwerk,snelwegen,voertuigtype,personenwagen
aantal,16299873385,jaar,1992,netwerk,gewestwegen,voertuigtype,personenwagen
aantal,9165822597,jaar,1992,netwerk,gemeentewegen,voertuigtype,personenwagen
aantal,"815004891,9",jaar,1992,netwerk,snelwegen,voertuigtype,bestelwagen
aantal,"996296356,5",jaar,1992,netwerk,gewestwegen,voertuigtype,bestelwagen
aantal,"621465227,3",jaar,1992,netwerk,gemeentewegen,voertuigtype,bestelwagen
aantal,"97387061,24",jaar,1992,netwerk,snelwegen,voertuigtype,bus
aantal,"152773695,6",jaar,1992,netwerk,gewestwegen,voertuigtype,bus
aantal,"81422914,74",jaar,1992,netwerk,gemeentewegen,voertuigtype,bus
aantal,"781876,4952",jaar,1992,netwerk,snelwegen,voertuigtype,speciaal voertuig
aantal,"43602678,16",jaar,1992,netwerk,gewestwegen,voertuigtype,speciaal voertuig
aantal,"161848559,8",jaar,1992,netwerk,gemeentewegen,voertuigtype,speciaal voertuig
aantal,"651795413,1",jaar,1992,netwerk,snelwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"778733896,1",jaar,1992,netwerk,gewestwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"197043869,2",jaar,1992,netwerk,gemeentewegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,1167978692,jaar,1992,netwerk,snelwegen,voertuigtype,trekker met oplegger
aantal,"535231472,6",jaar,1992,netwerk,gewestwegen,voertuigtype,trekker met oplegger
aantal,"54039551,22",jaar,1992,netwerk,gemeentewegen,voertuigtype,trekker met oplegger
aantal,"327548334,7",jaar,1992,netwerk,snelwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"132871614,3",jaar,1992,netwerk,gewestwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"15125256,94",jaar,1992,netwerk,gemeentewegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"70454023,09",jaar,1993,netwerk,snelwegen,voertuigtype,motor
aantal,"206866719,8",jaar,1993,netwerk,gewestwegen,voertuigtype,motor
aantal,"108747220,6",jaar,1993,netwerk,gemeentewegen,voertuigtype,motor
aantal,11671265141,jaar,1993,netwerk,snelwegen,voertuigtype,personenwagen
aantal,16092508495,jaar,1993,netwerk,gewestwegen,voertuigtype,personenwagen
aantal,9103692936,jaar,1993,netwerk,gemeentewegen,voertuigtype,personenwagen
aantal,"894012510,3",jaar,1993,netwerk,snelwegen,voertuigtype,bestelwagen
aantal,1065414821,jaar,1993,netwerk,gewestwegen,voertuigtype,bestelwagen
aantal,"655071064,2",jaar,1993,netwerk,gemeentewegen,voertuigtype,bestelwagen
aantal,"102780338,4",jaar,1993,netwerk,snelwegen,voertuigtype,bus
aantal,"151620065,9",jaar,1993,netwerk,gewestwegen,voertuigtype,bus
aantal,"76824849,71",jaar,1993,netwerk,gemeentewegen,voertuigtype,bus
aantal,"538273,5211",jaar,1993,netwerk,snelwegen,voertuigtype,speciaal voertuig
aantal,"42071372,14",jaar,1993,netwerk,gewestwegen,voertuigtype,speciaal voertuig
aantal,141083630,jaar,1993,netwerk,gemeentewegen,voertuigtype,speciaal voertuig
aantal,"665126647,5",jaar,1993,netwerk,snelwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"730918960,4",jaar,1993,netwerk,gewestwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"195757418,2",jaar,1993,netwerk,gemeentewegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,1208633383,jaar,1993,netwerk,snelwegen,voertuigtype,trekker met oplegger
aantal,"543589442,3",jaar,1993,netwerk,gewestwegen,voertuigtype,trekker met oplegger
aantal,"54632384,36",jaar,1993,netwerk,gemeentewegen,voertuigtype,trekker met oplegger
aantal,"339231934,6",jaar,1993,netwerk,snelwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"135167086,5",jaar,1993,netwerk,gewestwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"15153810,29",jaar,1993,netwerk,gemeentewegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"83330103,07",jaar,1994,netwerk,snelwegen,voertuigtype,motor
aantal,"255677606,6",jaar,1994,netwerk,gewestwegen,voertuigtype,motor
aantal,"128434913,6",jaar,1994,netwerk,gemeentewegen,voertuigtype,motor
aantal,12267025104,jaar,1994,netwerk,snelwegen,voertuigtype,personenwagen
aantal,16558166937,jaar,1994,netwerk,gewestwegen,voertuigtype,personenwagen
aantal,9223116506,jaar,1994,netwerk,gemeentewegen,voertuigtype,personenwagen
aantal,"999708529,9",jaar,1994,netwerk,snelwegen,voertuigtype,bestelwagen
aantal,1181337304,jaar,1994,netwerk,gewestwegen,voertuigtype,bestelwagen
aantal,"702225885,7",jaar,1994,netwerk,gemeentewegen,voertuigtype,bestelwagen
aantal,"110906744,5",jaar,1994,netwerk,snelwegen,voertuigtype,bus
aantal,"156829205,5",jaar,1994,netwerk,gewestwegen,voertuigtype,bus
aantal,"73706995,79",jaar,1994,netwerk,gemeentewegen,voertuigtype,bus
aantal,"284295,272",jaar,1994,netwerk,snelwegen,voertuigtype,speciaal voertuig
aantal,"42272763,63",jaar,1994,netwerk,gewestwegen,voertuigtype,speciaal voertuig
aantal,"122880061,5",jaar,1994,netwerk,gemeentewegen,voertuigtype,speciaal voertuig
aantal,"694185877,6",jaar,1994,netwerk,snelwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"712631658,7",jaar,1994,netwerk,gewestwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"198375551,3",jaar,1994,netwerk,gemeentewegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,1279360312,jaar,1994,netwerk,snelwegen,voertuigtype,trekker met oplegger
aantal,"575097987,6",jaar,1994,netwerk,gewestwegen,voertuigtype,trekker met oplegger
aantal,"56327041,89",jaar,1994,netwerk,gemeentewegen,voertuigtype,trekker met oplegger
aantal,"359380812,2",jaar,1994,netwerk,snelwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"143224990,2",jaar,1994,netwerk,gewestwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"15486254,33",jaar,1994,netwerk,gemeentewegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"95687922,48",jaar,1995,netwerk,snelwegen,voertuigtype,motor
aantal,"300015823,1",jaar,1995,netwerk,gewestwegen,voertuigtype,motor
aantal,"146027786,2",jaar,1995,netwerk,gemeentewegen,voertuigtype,motor
aantal,12661937112,jaar,1995,netwerk,snelwegen,voertuigtype,personenwagen
aantal,16615529783,jaar,1995,netwerk,gewestwegen,voertuigtype,personenwagen
aantal,9173715379,jaar,1995,netwerk,gemeentewegen,voertuigtype,personenwagen
aantal,1094512538,jaar,1995,netwerk,snelwegen,voertuigtype,bestelwagen
aantal,1271770045,jaar,1995,netwerk,gewestwegen,voertuigtype,bestelwagen
aantal,"737067639,5",jaar,1995,netwerk,gemeentewegen,voertuigtype,bestelwagen
aantal,"117479863,7",jaar,1995,netwerk,snelwegen,voertuigtype,bus
aantal,"158206363,7",jaar,1995,netwerk,gewestwegen,voertuigtype,bus
aantal,"69182107,17",jaar,1995,netwerk,gemeentewegen,voertuigtype,bus
aantal,0,jaar,1995,netwerk,snelwegen,voertuigtype,speciaal voertuig
aantal,"41388321,47",jaar,1995,netwerk,gewestwegen,voertuigtype,speciaal voertuig
aantal,102145964,jaar,1995,netwerk,gemeentewegen,voertuigtype,speciaal voertuig
aantal,"711433149,7",jaar,1995,netwerk,snelwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"675085109,5",jaar,1995,netwerk,gewestwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"197363219,2",jaar,1995,netwerk,gemeentewegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,1329963813,jaar,1995,netwerk,snelwegen,voertuigtype,trekker met oplegger
aantal,"593100587,6",jaar,1995,netwerk,gewestwegen,voertuigtype,trekker met oplegger
aantal,"57004376,62",jaar,1995,netwerk,gemeentewegen,voertuigtype,trekker met oplegger
aantal,"373903834,1",jaar,1995,netwerk,snelwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,147928594,jaar,1995,netwerk,gewestwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"15537104,49",jaar,1995,netwerk,gemeentewegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"95147595,6",jaar,1996,netwerk,snelwegen,voertuigtype,motor
aantal,"289495072,2",jaar,1996,netwerk,gewestwegen,voertuigtype,motor
aantal,"156031013,6",jaar,1996,netwerk,gemeentewegen,voertuigtype,motor
aantal,12865186926,jaar,1996,netwerk,snelwegen,voertuigtype,personenwagen
aantal,16756405699,jaar,1996,netwerk,gewestwegen,voertuigtype,personenwagen
aantal,9182254523,jaar,1996,netwerk,gemeentewegen,voertuigtype,personenwagen
aantal,1154906521,jaar,1996,netwerk,snelwegen,voertuigtype,bestelwagen
aantal,1392746054,jaar,1996,netwerk,gewestwegen,voertuigtype,bestelwagen
aantal,"763930949,6",jaar,1996,netwerk,gemeentewegen,voertuigtype,bestelwagen
aantal,"117066968,7",jaar,1996,netwerk,snelwegen,voertuigtype,bus
aantal,"157343922,3",jaar,1996,netwerk,gewestwegen,voertuigtype,bus
aantal,"65337149,64",jaar,1996,netwerk,gemeentewegen,voertuigtype,bus
aantal,0,jaar,1996,netwerk,snelwegen,voertuigtype,speciaal voertuig
